#Temps:  Energie totale:             LAz:             LAa:         a.(w^L):
   3.23          5.80007         0.170165         0.176984                0
   3.24          5.80207         0.170438         0.176995                0
   3.25          5.80376         0.170654         0.177004                0
   3.26          5.80516         0.170818          0.17701                0
   3.27           5.8063         0.170934         0.177015                0
   3.28          5.80719         0.171009         0.177018                0
   3.29          5.80787         0.171046          0.17702                0
    3.3          5.80837         0.171051          0.17702                0
   3.31           5.8087         0.171029         0.177018                0
   3.32           5.8089         0.170985         0.177016                0
   3.33          5.80898         0.170923         0.177012                0
   3.34          5.80896         0.170847         0.177008                0
   3.35          5.80886          0.17076         0.177003                0
   3.36          5.80869         0.170665         0.176998                0
   3.37          5.80847         0.170566         0.176992                0
   3.38           5.8082         0.170463         0.176986                0
   3.39          5.80789          0.17036         0.176979                0
    3.4          5.80756         0.170257         0.176972                0
   3.41           5.8072         0.170155         0.176966                0
   3.42          5.80683         0.170057         0.176959                0
   3.43          5.80644         0.169962         0.176952                0
   3.44          5.80605          0.16987         0.176945                0
   3.45          5.80565         0.169784         0.176938                0
   3.46          5.80525         0.169701         0.176932                0
   3.47          5.80484         0.169624         0.176925                0
   3.48          5.80444         0.169552         0.176919                0
   3.49          5.80404         0.169484         0.176912                0
    3.5          5.80365         0.169422         0.176906                0
   3.51          5.80326         0.169364           0.1769                0
   3.52          5.80288         0.169311         0.176894                0
   3.53          5.80251         0.169262         0.176889                0
   3.54          5.80214         0.169218         0.176883                0
   3.55          5.80178         0.169177         0.176878                0
   3.56          5.80143         0.169141         0.176873                0
   3.57          5.80109         0.169109         0.176868                0
   3.58          5.80076         0.169079         0.176864                0
   3.59          5.80044         0.169054         0.176859                0
    3.6          5.80013         0.169031         0.176855                0
   3.61          5.79982         0.169012         0.176851                0
   3.62          5.79953         0.168995         0.176847                0
   3.63          5.79924         0.168981         0.176843                0
   3.64          5.79896         0.168969         0.176839                0
   3.65           5.7987          0.16896         0.176835                0
   3.66          5.79844         0.168953         0.176832                0
   3.67          5.79819         0.168948         0.176829                0
   3.68          5.79794         0.168946         0.176825                0
   3.69          5.79771         0.168945         0.176822                0
    3.7          5.79748         0.168946         0.176819                0
   3.71          5.79727         0.168949         0.176816                0
   3.72          5.79706         0.168954         0.176814                0
   3.73          5.79685         0.168961         0.176811                0
   3.74          5.79666         0.168969         0.176808                0
   3.75          5.79647         0.168979         0.176806                0
   3.76          5.79628         0.168991         0.176803                0
   3.77          5.79611         0.169005         0.176801                0
   3.78          5.79594          0.16902         0.176798                0
   3.79          5.79577         0.169038         0.176796                0
    3.8          5.79561         0.169057         0.176794                0
   3.81          5.79545         0.169078         0.176791                0
   3.82           5.7953         0.169102         0.176789                0
   3.83          5.79516         0.169127         0.176787                0
   3.84          5.79501         0.169155         0.176785                0
   3.85          5.79487         0.169186         0.176783                0
   3.86          5.79473         0.169219          0.17678                0
   3.87          5.79459         0.169255         0.176778                0
   3.88          5.79445         0.169295         0.176776                0
   3.89          5.79431         0.169338         0.176773                0
    3.9          5.79416         0.169385         0.176771                0
   3.91          5.79402         0.169436         0.176769                0
   3.92          5.79386         0.169492         0.176766                0
   3.93           5.7937         0.169552         0.176763                0
